Stay Name,Stay Type,Country,City,Amenities,Price per Night (USD)
Paradise Hotels,Resort,Brazil,São Paulo,"Room Service, 24hr Reception, TV, Air Conditioning, Nature Walks",270.53
Urban Business Rooms,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"Room Service, TV, Parking, 24hr Reception, WiFi, Air Conditioning, Projector Facility, Work Desk",140.21
Paradise Tours,Hotel,Canada,Vancouver,"Air Conditioning, WiFi, TV, Room Service, Parking, Concierge, Mini Bar",112.57
Golden Lodge,Resort,South Africa,Cape Town,"Parking, 24hr Reception, TV, Adventure Sports",292.69
Maple Lodge,Resort,Australia,Brisbane,"Air Conditioning, 24hr Reception, WiFi, Room Service, Parking, Spa, Adventure Sports",258.71
Skyline Hotels,Hotel,France,Marseille,"TV, Air Conditioning, Parking, WiFi, Room Service, 24hr Reception, Mini Bar",74.0
Moonlight Travels,Vacation Tours and Travels,USA,Chicago,"Air Conditioning, WiFi, Room Service, 24hr Reception, Parking, Vehicle Rentals",72.89
Imperial Inn,Resort,Australia,Sydney,"Room Service, TV, 24hr Reception, Spa",186.38
Golden Lodge,Hotel,South Africa,Johannesburg,"Air Conditioning, 24hr Reception, Parking, WiFi, TV, Concierge",54.0
Skyline Hotels,Resort,Australia,Sydney,"WiFi, 24hr Reception, Air Conditioning, Room Service, Spa, Adventure Sports",353.17
Heritage Inn,Resort,Australia,Sydney,"TV, Air Conditioning, 24hr Reception, Nature Walks",150.66
Imperial Lodge,Business Trips and Meet Stays,Australia,Sydney,"Parking, Room Service, WiFi, 24hr Reception, TV, Air Conditioning, Business Center, Projector Facility",102.35
Sapphire Motel,Hotel,South Africa,Durban,"TV, 24hr Reception, Room Service, WiFi, Parking, Air Conditioning, Laundry Service",53.87
Majestic Business Rooms,Business Trips and Meet Stays,Australia,Sydney,"Parking, TV, WiFi, Room Service, 24hr Reception, Air Conditioning, Conference Room",208.24
Paradise Travels,Business Trips and Meet Stays,UK,Birmingham,"Room Service, Parking, TV, 24hr Reception, Air Conditioning, WiFi, Business Center, Projector Facility",243.89
Sunset Retreat,Vacation Tours and Travels,Canada,Montreal,"TV, WiFi, Parking, Air Conditioning, Room Service, 24hr Reception, Vehicle Rentals",104.47
